Index	Name	Value	Reduced Cost
3459	fire_B,R,N,C,A,5,A	0.27	0.0
3747	fire_B,R,N,R,A,1,A	0.15	0.0
3755	fire_B,R,N,R,A,2,A	0.15	0.0
3763	fire_B,R,N,R,A,3,A	0.15	0.0
3771	fire_B,R,N,R,A,4,A	0.15	0.0
3779	fire_B,R,N,R,A,5,A	0.15	0.0
4067	fire_B,R,P,L,A,1,A	0.16	0.0
4075	fire_B,R,P,L,A,2,A	0.16	0.0
4083	fire_B,R,P,L,A,3,A	0.16	0.0
4091	fire_B,R,P,L,A,4,A	0.16	0.0
4099	fire_B,R,P,L,A,5,A	0.16	0.0
4387	fire_B,R,P,C,A,1,A	0.17	0.0
4395	fire_B,R,P,C,A,2,A	0.17	0.0
4403	fire_B,R,P,C,A,3,A	0.17	0.0
4411	fire_B,R,P,C,A,4,A	0.17	0.0
4419	fire_B,R,P,C,A,5,A	0.17	0.0
4707	fire_B,R,P,R,A,1,A	0.1	0.0
4715	fire_B,R,P,R,A,2,A	0.1	0.0
4723	fire_B,R,P,R,A,3,A	0.1	0.0
4731	fire_B,R,P,R,A,4,A	0.1	0.0
4739	fire_B,R,P,R,A,5,A	0.1	0.0
5027	fire_B,N,N,L,A,1,A	0.73	0.0
5035	fire_B,N,N,L,A,2,A	0.73	0.0
5043	fire_B,N,N,L,A,3,A	0.73	0.0
5051	fire_B,N,N,L,A,4,A	0.73	0.0
5059	fire_B,N,N,L,A,5,A	0.73	0.0
5347	fire_B,N,N,C,A,1,A	0.65	0.0
5355	fire_B,N,N,C,A,2,A	0.65	0.0
5363	fire_B,N,N,C,A,3,A	0.65	0.0
5371	fire_B,N,N,C,A,4,A	0.65	0.0
5379	fire_B,N,N,C,A,5,A	0.65	0.0
5667	fire_B,N,P,R,A,1,A	0.23	0.0
5675	fire_B,N,P,R,A,2,A	0.23	0.0
5683	fire_B,N,P,R,A,3,A	0.23	0.0
5691	fire_B,N,P,R,A,4,A	0.23	0.0
5699	fire_B,N,P,R,A,5,A	0.23	0.0
5987	fire_C,N,N,L,A,1,A	64.65	0.0
5995	fire_C,N,N,L,A,2,A	64.65	0.0
6003	fire_C,N,N,L,A,3,A	64.65	0.0
6011	fire_C,N,N,L,A,4,A	64.65	0.0
6019	fire_C,N,N,L,A,5,A	64.65	0.0
6307	fire_C,N,N,H,A,1,A	1.93	0.0
6315	fire_C,N,N,H,A,2,A	1.93	0.0
6323	fire_C,N,N,H,A,3,A	1.93	0.0
6331	fire_C,N,N,H,A,4,A	1.93	0.0
6339	fire_C,N,N,H,A,5,A	1.93	0.0
6627	fire_C,N,N,C,A,1,A	25.27	0.0
6635	fire_C,N,N,C,A,2,A	25.27	0.0
6643	fire_C,N,N,C,A,3,A	25.27	0.0
6651	fire_C,N,N,C,A,4,A	25.27	0.0
6659	fire_C,N,N,C,A,5,A	25.27	0.0
6947	fire_C,N,N,R,A,1,A	2.4	0.0
6955	fire_C,N,N,R,A,2,A	2.4	0.0
6963	fire_C,N,N,R,A,3,A	2.4	0.0
6971	fire_C,N,N,R,A,4,A	2.4	0.0
6979	fire_C,N,N,R,A,5,A	2.4	0.0
7267	fire_C,N,O,L,A,1,A	0.19	0.0
7275	fire_C,N,O,L,A,2,A	0.19	0.0
7283	fire_C,N,O,L,A,3,A	0.19	0.0
7291	fire_C,N,O,L,A,4,A	0.19	0.0
7299	fire_C,N,O,L,A,5,A	0.19	0.0
7587	fire_C,N,O,H,A,1,A	0.83	0.0
7595	fire_C,N,O,H,A,2,A	0.83	0.0
7603	fire_C,N,O,H,A,3,A	0.83	0.0
7611	fire_C,N,O,H,A,4,A	0.83	0.0
7619	fire_C,N,O,H,A,5,A	0.83	0.0
7907	fire_C,N,O,C,A,1,A	0.23	0.0
7915	fire_C,N,O,C,A,2,A	0.23	0.0
7923	fire_C,N,O,C,A,3,A	0.23	0.0
7931	fire_C,N,O,C,A,4,A	0.23	0.0
7939	fire_C,N,O,C,A,5,A	0.23	0.0
8227	fire_C,N,O,R,A,1,A	0.65	0.0
8235	fire_C,N,O,R,A,2,A	0.65	0.0
8243	fire_C,N,O,R,A,3,A	0.65	0.0
8251	fire_C,N,O,R,A,4,A	0.65	0.0
8259	fire_C,N,O,R,A,5,A	0.65	0.0
