condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
109	layer5 I | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 I	6.6	null	true	
110	layer5 I | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 J	13.2	null	true	
111	layer5 I | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 K	6.6	null	true	
112	layer5 I | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 L	6.6	4.5	true	
113	layer5 I | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 M	6.6	4.5	true	
114	layer5 I | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 N	6.6	4.5	true	
115	layer5 I | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 O	6.6	4.5	true	
116	layer5 I | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 P	6.6	4.5	true	
117	layer5 I | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 Q	6.6	4.5	true	
118	layer5 I | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 R	6.6	4.5	true	
119	layer5 I | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 S	null	4.5	true	
120	layer5 I | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 Z	null	null	true	
121	layer5 U | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 F	null	null	true	
122	layer5 U | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 G	null	null	true	
