strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
UNSHAS	U	N	S	H	A	S	170.14	0.0	0.0	0.0	9.4	8.459999999999999
UNSHAL	U	N	S	H	A	L	116.745	0.0	0.0	0.0	6.45	5.805
UNSHLL	U	N	S	H	L	L	133.035	0.0	0.0	0.0	7.3500000000000005	6.614999999999999
UNSRPL	U	N	S	R	P	L	74.529	0.0	0.0	0.0	1.56	1.911
UNSRDM	U	N	S	R	D	M	56.3745	0.0	0.0	0.0	1.18	1.4455
UNSRDL	U	N	S	R	D	L	94.5945	0.0	0.0	0.0	1.98	2.4255
UNSRWS	U	N	S	R	W	S	916.3245000000001	0.0	0.0	0.0	19.18	23.4955
UNSRWP	U	N	S	R	W	P	159.5685	0.0	0.0	0.0	3.34	4.0915
UNSRWM	U	N	S	R	W	M	317.226	0.0	0.0	0.0	6.640000000000001	8.134
UNSRWL	U	N	S	R	W	L	2829.2355000000002	0.0	0.0	0.0	59.22	72.5445
UNSRCS	U	N	S	R	C	S	262.45	0.0	0.0	0.0	14.5	13.049999999999999
UNSRCP	U	N	S	R	C	P	235.3	0.0	0.0	0.0	13.0	11.7
UNSRCM	U	N	S	R	C	M	540.285	0.0	0.0	0.0	29.85	26.865
UNSRCL	U	N	S	R	C	L	6157.62	0.0	0.0	0.0	340.20000000000005	306.18
UNSRAS	U	N	S	R	A	S	76.925	0.0	0.0	0.0	4.25	3.8249999999999997
UNSRAL	U	N	S	R	A	L	67.875	0.0	0.0	0.0	3.75	3.375
UNSRLL	U	N	S	R	L	L	172.855	0.0	0.0	0.0	9.55	8.594999999999999
KRNLPM	K	R	N	L	P	M	1000.4084999999999	0.0	0.0	0.0	20.94	25.651500000000002
KRNLPL	K	R	N	L	P	L	196.833	0.0	0.0	0.0	4.12	5.047000000000001
KRNLDM	K	R	N	L	D	M	152.88000000000002	0.0	0.0	0.0	3.2	3.92
KRNLDL	K	R	N	L	D	L	168.16799999999998	0.0	0.0	0.0	3.52	4.312
KRNLWS	K	R	N	L	W	S	90.7725	0.0	0.0	0.0	1.9000000000000001	2.3275
KRNLWP	K	R	N	L	W	P	448.1295	0.0	0.0	0.0	9.38	11.4905
KRNLWM	K	R	N	L	W	M	2095.4114999999997	0.0	0.0	0.0	43.86	53.728500000000004
KRNLWL	K	R	N	L	W	L	3590.7690000000002	0.0	0.0	0.0	75.16	92.071
KRNLCP	K	R	N	L	C	P	91.405	0.0	0.0	0.0	5.050000000000001	4.545
KRNLCM	K	R	N	L	C	M	978.3050000000001	0.0	0.0	0.0	54.050000000000004	48.644999999999996
KRNLCL	K	R	N	L	C	L	2360.24	0.0	0.0	0.0	130.4	117.36
KRNLIS	K	R	N	L	I	S	257.02000000000004	0.0	0.0	0.0	14.200000000000001	12.78
KRNLIP	K	R	N	L	I	P	319.46500000000003	0.0	0.0	0.0	17.650000000000002	15.885
KRNLIM	K	R	N	L	I	M	1779.23	0.0	0.0	0.0	98.30000000000001	88.47
KRNLIL	K	R	N	L	I	L	3019.985	0.0	0.0	0.0	166.85000000000002	150.165
KRNLAS	K	R	N	L	A	S	64.25500000000001	0.0	0.0	0.0	3.5500000000000003	3.195
