strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BNPHWM	B	N	P	H	W	M	84.60000000000001	0.0	0.0	0.0	3.6	1.8
BNPHWL	B	N	P	H	W	L	230.29999999999998	0.0	0.0	0.0	9.8	4.9
BNPHCP	B	N	P	H	C	P	0.0	0.0	0.0	52.64	2.24	1.12
BNPHCM	B	N	P	H	C	M	126.89999999999999	0.0	0.0	0.0	5.4	2.7
BNPHCL	B	N	P	H	C	L	449.32	0.0	0.0	0.0	19.12	9.56
BNPCCL	B	N	P	C	C	L	73.32	0.0	0.0	0.0	3.12	1.56
BNPRPL	B	N	P	R	P	L	72.38	0.0	0.0	0.0	3.08	1.54
BNPRDL	B	N	P	R	D	L	61.1	0.0	0.0	0.0	2.6	1.3
BNPRWP	B	N	P	R	W	P	0.0	0.0	0.0	58.28	2.48	1.24
BNPRWM	B	N	P	R	W	M	0.0	0.0	206.79999999999998	0.0	8.8	4.4
BNPRWL	B	N	P	R	W	L	0.0	0.0	697.48	0.0	29.68	14.84
BNPRCP	B	N	P	R	C	P	0.0	0.0	0.0	67.68	2.88	1.44
BNPRCM	B	N	P	R	C	M	0.0	0.0	303.62	0.0	12.92	6.46
BNPRCL	B	N	P	R	C	L	0.0	1171.24	0.0	0.0	49.84	24.92
BNPRAL	B	N	P	R	A	L	110.92	0.0	0.0	0.0	4.72	2.36
BNSHWS	B	N	S	H	W	S	0.0	0.0	0.0	202.1	8.6	4.3
BNSHWP	B	N	S	H	W	P	0.0	0.0	0.0	106.22	4.5200000000000005	2.2600000000000002
BNSHWM	B	N	S	H	W	M	193.64	0.0	0.0	0.0	8.24	4.12
BNSHWL	B	N	S	H	W	L	915.56	0.0	0.0	0.0	38.96	19.48
BNSHCS	B	N	S	H	C	S	0.0	0.0	0.0	102.46	4.36	2.18
BNSHCP	B	N	S	H	C	P	0.0	0.0	0.0	61.1	2.6	1.3
BNSHCM	B	N	S	H	C	M	275.41999999999996	0.0	0.0	0.0	11.72	5.86
BNSHCL	B	N	S	H	C	L	0.0	1519.98	0.0	0.0	64.68	32.34
BNSHIL	B	N	S	H	I	L	53.58	0.0	0.0	0.0	2.2800000000000002	1.1400000000000001
BNSHLL	B	N	S	H	L	L	97.76	0.0	0.0	0.0	4.16	2.08
BNSRPL	B	N	S	R	P	L	606.3000000000001	0.0	0.0	0.0	25.8	12.9
BNSRDS	B	N	S	R	D	S	0.0	0.0	0.0	62.04	2.64	1.32
BNSRDM	B	N	S	R	D	M	198.34	0.0	0.0	0.0	8.44	4.22
BNSRDL	B	N	S	R	D	L	465.3	0.0	0.0	0.0	19.8	9.9
BNSRWS	B	N	S	R	W	S	0.0	0.0	0.0	512.3000000000001	21.8	10.9
BNSRWP	B	N	S	R	W	P	0.0	0.0	0.0	617.58	26.28	13.14
BNSRWM	B	N	S	R	W	M	0.0	0.0	752.94	0.0	32.04	16.02
BNSRWL	B	N	S	R	W	L	0.0	0.0	4729.14	0.0	201.24	100.62
BNSRCS	B	N	S	R	C	S	0.0	0.0	0.0	172.02	7.32	3.66
BNSRCP	B	N	S	R	C	P	0.0	0.0	0.0	425.82	18.12	9.06
BNSRCM	B	N	S	R	C	M	1736.1799999999998	0.0	0.0	0.0	73.88	36.94
BNSRCL	B	N	S	R	C	L	0.0	8349.08	0.0	0.0	355.28000000000003	177.64000000000001
BNSRLL	B	N	S	R	L	L	82.72	0.0	0.0	0.0	3.52	1.76
URNLCL	U	R	N	L	C	L	141.0	0.0	0.0	0.0	6.0	3.0
URNHWL	U	R	N	H	W	L	98.7	0.0	0.0	0.0	4.2	2.1
URNHCL	U	R	N	H	C	L	179.54000000000002	0.0	0.0	0.0	7.640000000000001	3.8200000000000003
URNCWL	U	R	N	C	W	L	105.28	0.0	0.0	0.0	4.48	2.24
URNCCL	U	R	N	C	C	L	105.28	0.0	0.0	0.0	4.48	2.24
URNRCL	U	R	N	R	C	L	205.86	0.0	0.0	0.0	8.76	4.38
UROHCL	U	R	O	H	C	L	47.94	0.0	0.0	0.0	2.04	1.02
URORCL	U	R	O	R	C	L	96.82	0.0	0.0	0.0	4.12	2.06
URPHWL	U	R	P	H	W	L	107.16	0.0	0.0	0.0	4.5600000000000005	2.2800000000000002
URPHCL	U	R	P	H	C	L	295.16	0.0	0.0	0.0	12.56	6.28
URPRWS	U	R	P	R	W	S	0.0	0.0	0.0	54.52	2.32	1.16
URPRWP	U	R	P	R	W	P	0.0	0.0	0.0	55.46	2.36	1.18
URPRWL	U	R	P	R	W	L	379.76	0.0	0.0	0.0	16.16	8.08
URPRCM	U	R	P	R	C	M	70.5	0.0	0.0	0.0	3.0	1.5
URPRCL	U	R	P	R	C	L	0.0	905.22	0.0	0.0	38.52	19.26
UNNHWS	U	N	N	H	W	S	0.0	0.0	0.0	51.699999999999996	2.2	1.1
UNNHWL	U	N	N	H	W	L	71.44	0.0	0.0	0.0	3.04	1.52
UNNHCL	U	N	N	H	C	L	144.76	0.0	0.0	0.0	6.16	3.08
UNNRWL	U	N	N	R	W	L	109.97999999999999	0.0	0.0	0.0	4.68	2.34
