Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CNSCLP	C	N	S	C	L	P	473	4	Yes	
CNSCNN	C	N	S	C	N	N	260	not found	Yes	
CNSCWL	C	N	S	C	W	L	828	8	Yes	
CNSCWM	C	N	S	C	W	M	109	8	Yes	
CNSCWP	C	N	S	C	W	P	61	4	Yes	
CNSHAL	C	N	S	H	A	L	3564	9	Yes	
CNSHAM	C	N	S	H	A	M	3792	8	Yes	
CNSHAP	C	N	S	H	A	P	5069	4	Yes	
CNSHAS	C	N	S	H	A	S	98	1	Yes	
CNSHCL	C	N	S	H	C	L	287	8	Yes	
CNSHIL	C	N	S	H	I	L	3769	8	Yes	
CNSHIM	C	N	S	H	I	M	2307	8	Yes	
CNSHIP	C	N	S	H	I	P	2218	4	Yes	
CNSHIS	C	N	S	H	I	S	137	1	Yes	
CNSHLL	C	N	S	H	L	L	2904	8	Yes	
CNSHLM	C	N	S	H	L	M	2396	8	Yes	
CNSHLP	C	N	S	H	L	P	2897	4	Yes	
CNSHNN	C	N	S	H	N	N	741	not found	Yes	
CNSHPM	C	N	S	H	P	M	127	8	Yes	
CNSHWL	C	N	S	H	W	L	1064	8	Yes	
CNSHWM	C	N	S	H	W	M	305	8	Yes	
CNSHWP	C	N	S	H	W	P	291	4	Yes	
CNSLAL	C	N	S	L	A	L	240	9	Yes	
CNSLAM	C	N	S	L	A	M	786	8	Yes	
CNSLAP	C	N	S	L	A	P	1751	4	Yes	
CNSLIL	C	N	S	L	I	L	190	8	Yes	
CNSLIM	C	N	S	L	I	M	552	8	Yes	
CNSLIP	C	N	S	L	I	P	440	4	Yes	
CNSLLL	C	N	S	L	L	L	143	8	Yes	
CNSLLM	C	N	S	L	L	M	314	8	Yes	
CNSLLP	C	N	S	L	L	P	707	4	Yes	
CNSLNN	C	N	S	L	N	N	530	not found	Yes	
CNSLWM	C	N	S	L	W	M	67	8	Yes	
CNSRAL	C	N	S	R	A	L	4105	9	Yes	
CNSRAM	C	N	S	R	A	M	3298	8	Yes	
CNSRAP	C	N	S	R	A	P	3680	4	Yes	
CNSRAS	C	N	S	R	A	S	397	1	Yes	
CNSRCL	C	N	S	R	C	L	298	8	Yes	
CNSRCM	C	N	S	R	C	M	261	8	Yes	
CNSRDL	C	N	S	R	D	L	97	8	Yes	
CNSRDM	C	N	S	R	D	M	131	8	Yes	
CNSRIL	C	N	S	R	I	L	6065	8	Yes	
CNSRIM	C	N	S	R	I	M	3725	8	Yes	
CNSRIP	C	N	S	R	I	P	2731	4	Yes	
CNSRIS	C	N	S	R	I	S	291	1	Yes	
