strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BNNCLM	B	N	N	C	L	M	0.0	0.0	83.72	0.0	2.76	5.52
BNNCLL	B	N	N	C	L	L	0.0	0.0	164.70999999999998	0.0	5.43	10.86
BNNRPL	B	N	N	R	P	L	0.0	0.0	105.56	0.0	3.48	6.96
BNNRDL	B	N	N	R	D	L	0.0	0.0	70.07	0.0	2.31	4.62
BNNRWP	B	N	N	R	W	P	0.0	0.0	61.879999999999995	0.0	2.04	4.08
BNNRWM	B	N	N	R	W	M	0.0	0.0	264.81	0.0	8.73	17.46
BNNRWL	B	N	N	R	W	L	0.0	858.13	0.0	0.0	28.29	56.58
BNNRCM	B	N	N	R	C	M	0.0	0.0	323.05	0.0	10.65	21.3
BNNRCL	B	N	N	R	C	L	0.0	1553.37	0.0	0.0	51.21	102.42
BNOHWL	B	N	O	H	W	L	0.0	0.0	261.16999999999996	0.0	8.61	17.22
BNOHCM	B	N	O	H	C	M	0.0	0.0	121.02999999999999	0.0	3.9899999999999998	7.9799999999999995
BNOHCL	B	N	O	H	C	L	0.0	0.0	614.25	0.0	20.25	40.5
BNORPL	B	N	O	R	P	L	0.0	0.0	115.57	0.0	3.81	7.62
BNORDM	B	N	O	R	D	M	0.0	0.0	81.89999999999999	0.0	2.6999999999999997	5.3999999999999995
BNORDL	B	N	O	R	D	L	0.0	0.0	155.61	0.0	5.13	10.26
BNORWP	B	N	O	R	W	P	0.0	0.0	63.7	0.0	2.1	4.2
BNORWM	B	N	O	R	W	M	0.0	0.0	147.42	0.0	4.859999999999999	9.719999999999999
BNORWL	B	N	O	R	W	L	0.0	0.0	1217.58	0.0	40.14	80.28
BNORCM	B	N	O	R	C	M	0.0	0.0	350.34999999999997	0.0	11.549999999999999	23.099999999999998
BNORCL	B	N	O	R	C	L	0.0	0.0	2184.91	0.0	72.03	144.06
BNPHWM	B	N	P	H	W	M	0.0	0.0	81.89999999999999	0.0	2.6999999999999997	5.3999999999999995
BNPHWL	B	N	P	H	W	L	0.0	0.0	222.95000000000002	0.0	7.35	14.7
BNPHCP	B	N	P	H	C	P	0.0	0.0	50.96	0.0	1.68	3.36
BNPHCM	B	N	P	H	C	M	0.0	0.0	122.85	0.0	4.05	8.1
BNPHCL	B	N	P	H	C	L	0.0	0.0	434.98	0.0	14.34	28.68
BNPCCL	B	N	P	C	C	L	0.0	0.0	70.97999999999999	0.0	2.34	4.68
BNPRPL	B	N	P	R	P	L	0.0	0.0	70.07	0.0	2.31	4.62
BNPRDL	B	N	P	R	D	L	0.0	0.0	59.15	0.0	1.95	3.9
BNPRWP	B	N	P	R	W	P	0.0	0.0	56.42	0.0	1.8599999999999999	3.7199999999999998
BNPRWM	B	N	P	R	W	M	0.0	0.0	200.20000000000002	0.0	6.6	13.2
BNPRWL	B	N	P	R	W	L	0.0	0.0	675.22	0.0	22.259999999999998	44.519999999999996
BNPRCP	B	N	P	R	C	P	0.0	0.0	65.52000000000001	0.0	2.16	4.32
BNPRCM	B	N	P	R	C	M	0.0	0.0	293.93	0.0	9.69	19.38
BNPRCL	B	N	P	R	C	L	0.0	0.0	1133.86	0.0	37.379999999999995	74.75999999999999
BNPRAL	B	N	P	R	A	L	0.0	0.0	107.38	0.0	3.54	7.08
BNSHWS	B	N	S	H	W	S	0.0	0.0	195.65	0.0	6.45	12.9
BNSHWP	B	N	S	H	W	P	0.0	0.0	102.83	0.0	3.3899999999999997	6.779999999999999
BNSHWM	B	N	S	H	W	M	0.0	0.0	187.45999999999998	0.0	6.18	12.36
BNSHWL	B	N	S	H	W	L	0.0	0.0	886.3399999999999	0.0	29.22	58.44
BNSHCS	B	N	S	H	C	S	0.0	0.0	99.19	0.0	3.27	6.54
BNSHCP	B	N	S	H	C	P	0.0	0.0	59.15	0.0	1.95	3.9
BNSHCM	B	N	S	H	C	M	0.0	0.0	266.63	0.0	8.79	17.58
BNSHCL	B	N	S	H	C	L	0.0	1471.47	0.0	0.0	48.51	97.02
BNSHIL	B	N	S	H	I	L	0.0	0.0	51.87	0.0	1.71	3.42
BNSHLL	B	N	S	H	L	L	0.0	0.0	94.64	0.0	3.12	6.24
BNSRPL	B	N	S	R	P	L	0.0	0.0	586.9499999999999	0.0	19.349999999999998	38.699999999999996
