index	name	value	reduced_cost
1017	x_B,N,P,R,A,L,2	112.1	0.0
1019	x_B,N,P,R,A,L,4	5.9	0.0
1023	x_B,N,S,H,W,S,3	204.25	0.0
1024	x_B,N,S,H,W,S,4	10.75	0.0
1028	x_B,N,S,H,W,P,3	107.35	0.0
1029	x_B,N,S,H,W,P,4	5.65	0.0
1032	x_B,N,S,H,W,M,2	195.7	0.0
1034	x_B,N,S,H,W,M,4	10.3	0.0
1035	x_B,N,S,H,W,L,0	925.3	0.0
1039	x_B,N,S,H,W,L,4	48.7	0.0
1043	x_B,N,S,H,C,S,3	103.55	0.0
1044	x_B,N,S,H,C,S,4	5.45	0.0
1048	x_B,N,S,H,C,P,3	61.75	0.0
1049	x_B,N,S,H,C,P,4	3.25	0.0
1052	x_B,N,S,H,C,M,2	278.35	0.0
1054	x_B,N,S,H,C,M,4	14.65	0.0
1056	x_B,N,S,H,C,L,1	1536.15	0.0
1059	x_B,N,S,H,C,L,4	80.85	0.0
1062	x_B,N,S,H,I,L,2	54.15	0.0
1064	x_B,N,S,H,I,L,4	2.85	0.0
1067	x_B,N,S,H,L,L,2	98.8	0.0
1069	x_B,N,S,H,L,L,4	5.2	0.0
1072	x_B,N,S,R,P,L,2	612.75	0.0
1074	x_B,N,S,R,P,L,4	32.25	0.0
1078	x_B,N,S,R,D,S,3	62.7	0.0
1079	x_B,N,S,R,D,S,4	3.3	0.0
1082	x_B,N,S,R,D,M,2	200.45	0.0
1084	x_B,N,S,R,D,M,4	10.55	0.0
1086	x_B,N,S,R,D,L,1	470.25	0.0
1089	x_B,N,S,R,D,L,4	24.75	0.0
1093	x_B,N,S,R,W,S,3	517.75	0.0
1094	x_B,N,S,R,W,S,4	27.25	0.0
1098	x_B,N,S,R,W,P,3	624.15	0.0
1099	x_B,N,S,R,W,P,4	32.85	0.0
1100	x_B,N,S,R,W,M,0	760.95	0.0
1104	x_B,N,S,R,W,M,4	40.05	0.0
1107	x_B,N,S,R,W,L,2	4779.45	0.0
1109	x_B,N,S,R,W,L,4	251.55	0.0
1113	x_B,N,S,R,C,S,3	173.85	0.0
1114	x_B,N,S,R,C,S,4	9.15	0.0
1118	x_B,N,S,R,C,P,3	430.35	0.0
1119	x_B,N,S,R,C,P,4	22.65	0.0
1120	x_B,N,S,R,C,M,0	1754.65	0.0
1124	x_B,N,S,R,C,M,4	92.35	0.0
1126	x_B,N,S,R,C,L,1	8437.9	0.0
1129	x_B,N,S,R,C,L,4	444.1	0.0
1132	x_B,N,S,R,L,L,2	83.6	0.0
