CNPLAP,C,N,P,L,A,P,1208
CNPLIM,C,N,P,L,I,M,289
CNPLIP,C,N,P,L,I,P,173
CNPLLL,C,N,P,L,L,L,55
CNPLLM,C,N,P,L,L,M,238
CNPLLP,C,N,P,L,L,P,234
CNPLNN,C,N,P,L,N,N,186
CNPRAM,C,N,P,R,A,M,318
CNPRAP,C,N,P,R,A,P,809
CNPRIL,C,N,P,R,I,L,98
CNPRIM,C,N,P,R,I,M,155
CNPRIP,C,N,P,R,I,P,112
CNPRLL,C,N,P,R,L,L,86
CNPRLM,C,N,P,R,L,M,96
CNPRLP,C,N,P,R,L,P,157
CNSCAL,C,N,S,C,A,L,637
CNSCAM,C,N,S,C,A,M,478
CNSCAP,C,N,S,C,A,P,607
CNSCCL,C,N,S,C,C,L,592
CNSCIL,C,N,S,C,I,L,834
CNSCIM,C,N,S,C,I,M,408
CNSCIP,C,N,S,C,I,P,348
CNSCLL,C,N,S,C,L,L,890
CNSCLM,C,N,S,C,L,M,528
CNSCLP,C,N,S,C,L,P,473
CNSCNN,C,N,S,C,N,N,260
CNSCWL,C,N,S,C,W,L,828
CNSCWM,C,N,S,C,W,M,109
CNSCWP,C,N,S,C,W,P,61
CNSHAL,C,N,S,H,A,L,3564
CNSHAM,C,N,S,H,A,M,3792
CNSHAP,C,N,S,H,A,P,5069
CNSHAS,C,N,S,H,A,S,98
CNSHCL,C,N,S,H,C,L,287
CNSHIL,C,N,S,H,I,L,3769
CNSHIM,C,N,S,H,I,M,2307
CNSHIP,C,N,S,H,I,P,2218
CNSHIS,C,N,S,H,I,S,137
CNSHLL,C,N,S,H,L,L,2904
CNSHLM,C,N,S,H,L,M,2396
CNSHLP,C,N,S,H,L,P,2897
CNSHNN,C,N,S,H,N,N,741
CNSHPM,C,N,S,H,P,M,127
CNSHWL,C,N,S,H,W,L,1064
CNSHWM,C,N,S,H,W,M,305
CNSHWP,C,N,S,H,W,P,291
CNSLAL,C,N,S,L,A,L,240
CNSLAM,C,N,S,L,A,M,786
CNSLAP,C,N,S,L,A,P,1751
CNSLIL,C,N,S,L,I,L,190
CNSLIM,C,N,S,L,I,M,552
CNSLIP,C,N,S,L,I,P,440
CNSLLL,C,N,S,L,L,L,143
CNSLLM,C,N,S,L,L,M,314
CNSLLP,C,N,S,L,L,P,707
CNSLNN,C,N,S,L,N,N,530
CNSLWM,C,N,S,L,W,M,67
CNSRAL,C,N,S,R,A,L,4105
CNSRAM,C,N,S,R,A,M,3298
CNSRAP,C,N,S,R,A,P,3680
CNSRAS,C,N,S,R,A,S,397
CNSRCL,C,N,S,R,C,L,298
CNSRCM,C,N,S,R,C,M,261
CNSRDL,C,N,S,R,D,L,97
CNSRDM,C,N,S,R,D,M,131
CNSRIL,C,N,S,R,I,L,6065
CNSRIM,C,N,S,R,I,M,3725
CNSRIP,C,N,S,R,I,P,2731
CNSRIS,C,N,S,R,I,S,291
CNSRLL,C,N,S,R,L,L,2477
CNSRLM,C,N,S,R,L,M,2457
CNSRLP,C,N,S,R,L,P,2377
CNSRLS,C,N,S,R,L,S,65
CNSRNN,C,N,S,R,N,N,601
CNSRPL,C,N,S,R,P,L,108
CNSRPM,C,N,S,R,P,M,407
CNSRPP,C,N,S,R,P,P,193
CNSRPS,C,N,S,R,P,S,62
CNSRWL,C,N,S,R,W,L,1161
CNSRWM,C,N,S,R,W,M,955
CNSRWP,C,N,S,R,W,P,375
CRNCAL,C,R,N,C,A,L,1825
CRNCAM,C,R,N,C,A,M,2819
CRNCAP,C,R,N,C,A,P,1198
CRNCAS,C,R,N,C,A,S,189
CRNCCL,C,R,N,C,C,L,74
CRNCIL,C,R,N,C,I,L,2085
CRNCIM,C,R,N,C,I,M,1970
CRNCIP,C,R,N,C,I,P,756
CRNCIS,C,R,N,C,I,S,94
CRNCLL,C,R,N,C,L,L,516
CRNCLM,C,R,N,C,L,M,1452
CRNCLP,C,R,N,C,L,P,620
CRNCLS,C,R,N,C,L,S,51
CRNCNN,C,R,N,C,N,N,3474
CRNCPL,C,R,N,C,P,L,1166
CRNCPM,C,R,N,C,P,M,1202
CRNCPP,C,R,N,C,P,P,147
CRNCWL,C,R,N,C,W,L,212
CRNCWM,C,R,N,C,W,M,296
CRNCWP,C,R,N,C,W,P,141
CRNHAL,C,R,N,H,A,L,127
CRNHAM,C,R,N,H,A,M,818
CRNHAP,C,R,N,H,A,P,713
CRNHIL,C,R,N,H,I,L,205
CRNHIM,C,R,N,H,I,M,318
CRNHIP,C,R,N,H,I,P,223
CRNHLL,C,R,N,H,L,L,59
CRNHLM,C,R,N,H,L,M,360
CRNHLP,C,R,N,H,L,P,266
CRNHNN,C,R,N,H,N,N,388
CRNHWL,C,R,N,H,W,L,97
CRNHWM,C,R,N,H,W,M,183
CRNLAL,C,R,N,L,A,L,3051
CRNLAM,C,R,N,L,A,M,7546
CRNLAP,C,R,N,L,A,P,12507
CRNLAS,C,R,N,L,A,S,75
CRNLCL,C,R,N,L,C,L,664
CRNLCM,C,R,N,L,C,M,118
CRNLCP,C,R,N,L,C,P,51
CRNLIL,C,R,N,L,I,L,1642
CRNLIM,C,R,N,L,I,M,4812
CRNLIP,C,R,N,L,I,P,3746
CRNLIS,C,R,N,L,I,S,203
CRNLLL,C,R,N,L,L,L,926
CRNLLM,C,R,N,L,L,M,4120
CRNLLP,C,R,N,L,L,P,4114
CRNLNN,C,R,N,L,N,N,3495
CRNLPM,C,R,N,L,P,M,72
CRNLPP,C,R,N,L,P,P,94
CRNLWL,C,R,N,L,W,L,754
CRNLWM,C,R,N,L,W,M,461
CRNLWP,C,R,N,L,W,P,185
CRNRAL,C,R,N,R,A,L,445
CRNRAM,C,R,N,R,A,M,1018
CRNRAP,C,R,N,R,A,P,722
CRNRAS,C,R,N,R,A,S,575
CRNRIL,C,R,N,R,I,L,301
CRNRIM,C,R,N,R,I,M,610
CRNRIP,C,R,N,R,I,P,533
CRNRIS,C,R,N,R,I,S,157
CRNRLL,C,R,N,R,L,L,61
CRNRLM,C,R,N,R,L,M,254
CRNRLP,C,R,N,R,L,P,355
CRNRNN,C,R,N,R,N,N,2606
CRNRPM,C,R,N,R,P,M,90
CRNRWL,C,R,N,R,W,L,69
CRNRWM,C,R,N,R,W,M,192
CROCAL,C,R,O,C,A,L,164
CROCAM,C,R,O,C,A,M,371
CROCAP,C,R,O,C,A,P,688
CROCIL,C,R,O,C,I,L,370
CROCIM,C,R,O,C,I,M,300
CROCIP,C,R,O,C,I,P,357
CROCLL,C,R,O,C,L,L,93
CROCLM,C,R,O,C,L,M,189
CROCLP,C,R,O,C,L,P,269
CROHAL,C,R,O,H,A,L,306
CROHAM,C,R,O,H,A,M,242
CROHAP,C,R,O,H,A,P,383
CROHIL,C,R,O,H,I,L,229
CROHIM,C,R,O,H,I,M,138
CROHIP,C,R,O,H,I,P,173
CROHLL,C,R,O,H,L,L,250
CROHLM,C,R,O,H,L,M,182
CROHLP,C,R,O,H,L,P,189
CROLAL,C,R,O,L,A,L,356
CROLAM,C,R,O,L,A,M,429
CROLAP,C,R,O,L,A,P,1797
CROLIL,C,R,O,L,I,L,343
CROLIM,C,R,O,L,I,M,252
CROLIP,C,R,O,L,I,P,495
CROLLL,C,R,O,L,L,L,87
CROLLM,C,R,O,L,L,M,207
CROLLP,C,R,O,L,L,P,444
CRORAL,C,R,O,R,A,L,238
CRORAM,C,R,O,R,A,M,202
CRORAP,C,R,O,R,A,P,171
CRORIL,C,R,O,R,I,L,290
CRORIM,C,R,O,R,I,M,138
CRORIP,C,R,O,R,I,P,134
CRORLL,C,R,O,R,L,L,57
CRORLM,C,R,O,R,L,M,128
CRORLP,C,R,O,R,L,P,111
