Index	Name	Value	Reduced Cost
907	x_B,N,P,H,W,L,4	7.35	 
911	x_B,N,P,H,C,P,3	54.32	 
912	x_B,N,P,H,C,P,4	1.68	 
916	x_B,N,P,H,C,M,3	130.95	 
917	x_B,N,P,H,C,M,4	4.05	 
921	x_B,N,P,H,C,L,3	463.66	 
922	x_B,N,P,H,C,L,4	14.34	 
923	x_B,N,P,C,C,L,0	75.66	 
927	x_B,N,P,C,C,L,4	2.34	 
929	x_B,N,P,R,P,L,1	74.69	 
932	x_B,N,P,R,P,L,4	2.31	 
936	x_B,N,P,R,D,L,3	63.05	 
937	x_B,N,P,R,D,L,4	1.95	 
941	x_B,N,P,R,W,P,3	60.14	 
942	x_B,N,P,R,W,P,4	1.86	 
943	x_B,N,P,R,W,M,0	213.4	 
947	x_B,N,P,R,W,M,4	6.6	 
948	x_B,N,P,R,W,L,0	719.74	 
952	x_B,N,P,R,W,L,4	22.26	 
956	x_B,N,P,R,C,P,3	69.84	 
957	x_B,N,P,R,C,P,4	2.16	 
958	x_B,N,P,R,C,M,0	313.31	 
962	x_B,N,P,R,C,M,4	9.69	 
963	x_B,N,P,R,C,L,0	1208.62	 
967	x_B,N,P,R,C,L,4	37.38	 
970	x_B,N,P,R,A,L,2	114.46	 
972	x_B,N,P,R,A,L,4	3.54	 
973	x_B,N,S,H,W,S,0	208.55	 
977	x_B,N,S,H,W,S,4	6.45	 
978	x_B,N,S,H,W,P,0	109.61	 
982	x_B,N,S,H,W,P,4	3.39	 
986	x_B,N,S,H,W,M,3	199.82	 
987	x_B,N,S,H,W,M,4	6.18	 
988	x_B,N,S,H,W,L,0	944.78	 
992	x_B,N,S,H,W,L,4	29.22	 
996	x_B,N,S,H,C,S,3	105.73	 
997	x_B,N,S,H,C,S,4	3.27	 
1001	x_B,N,S,H,C,P,3	63.05	 
1002	x_B,N,S,H,C,P,4	1.95	 
1006	x_B,N,S,H,C,M,3	284.21	 
1007	x_B,N,S,H,C,M,4	8.79	 
1008	x_B,N,S,H,C,L,0	1568.49	 
1012	x_B,N,S,H,C,L,4	48.51	 
1015	x_B,N,S,H,I,L,2	55.29	 
1017	x_B,N,S,H,I,L,4	1.71	 
1020	x_B,N,S,H,L,L,2	98.8	 
1022	x_B,N,S,H,L,L,4	5.2	 
1023	x_B,N,S,R,P,L,0	625.65	 
1027	x_B,N,S,R,P,L,4	19.35	 
1028	x_B,N,S,R,D,S,0	64.02	 
1032	x_B,N,S,R,D,S,4	1.98	 
1033	x_B,N,S,R,D,M,0	204.67	 
