Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Available Methods/Prescriptions	Methods for Implementation	
CRNCIM	C	R	N	C	I	M	1970	null	EA 	
CRNCIP	C	R	N	C	I	P	756	null	EA 	
CRNCIS	C	R	N	C	I	S	94	null	EA 	
CRNCLL	C	R	N	C	L	L	516	null	EA 	
CRNCLM	C	R	N	C	L	M	1452	null	EA 	
CRNCLP	C	R	N	C	L	P	620	null	EA 	
CRNCLS	C	R	N	C	L	S	51	null	EA 	
CRNCPL	C	R	N	C	P	L	1166	null	EA 	
CRNCPM	C	R	N	C	P	M	1202	null	EA 	
CRNCPP	C	R	N	C	P	P	147	null	EA 	
CRNCWL	C	R	N	C	W	L	212	null	EA 	
CRNCWM	C	R	N	C	W	M	296	null	EA 	
CRNCWP	C	R	N	C	W	P	141	null	EA 	
CRNHAL	C	R	N	H	A	L	127	null	EA 	
CRNHAM	C	R	N	H	A	M	818	null	EA 	
CRNHAP	C	R	N	H	A	P	713	null	EA 	
CRNHIL	C	R	N	H	I	L	205	null	EA 	
CRNHIM	C	R	N	H	I	M	318	null	EA 	
CRNHIP	C	R	N	H	I	P	223	null	EA 	
CRNHLL	C	R	N	H	L	L	59	null	EA 	
CRNHLM	C	R	N	H	L	M	360	null	EA 	
CRNHLP	C	R	N	H	L	P	266	null	EA 	
CRNHWL	C	R	N	H	W	L	97	null	EA 	
CRNHWM	C	R	N	H	W	M	183	null	EA 	
CRNLAL	C	R	N	L	A	L	3051	null	EA 	
CRNLAM	C	R	N	L	A	M	7546	null	EA 	
CRNLAP	C	R	N	L	A	P	12507	null	EA 	
CRNLAS	C	R	N	L	A	S	75	null	EA 	
CRNLCL	C	R	N	L	C	L	664	null	EA 	
CRNLCM	C	R	N	L	C	M	118	null	EA 	
CRNLCP	C	R	N	L	C	P	51	null	EA 	
CRNLIL	C	R	N	L	I	L	1642	null	EA 	
CRNLIM	C	R	N	L	I	M	4812	null	EA 	
CRNLIP	C	R	N	L	I	P	3746	null	EA 	
CRNLIS	C	R	N	L	I	S	203	null	EA 	
CRNLLL	C	R	N	L	L	L	926	null	EA 	
CRNLLM	C	R	N	L	L	M	4120	null	EA 	
