Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CNSHWL	C	N	S	H	W	L	1064	8	Yes	
CNSHWM	C	N	S	H	W	M	305	8	Yes	
CNSLAM	C	N	S	L	A	M	786	8	Yes	
CNSLIL	C	N	S	L	I	L	190	8	Yes	
CNSLIM	C	N	S	L	I	M	552	8	Yes	
CNSLLL	C	N	S	L	L	L	143	8	Yes	
CNSLLM	C	N	S	L	L	M	314	8	Yes	
CNSLWM	C	N	S	L	W	M	67	8	Yes	
CNSRAM	C	N	S	R	A	M	3298	8	Yes	
CNSRCL	C	N	S	R	C	L	298	8	Yes	
CNSRCM	C	N	S	R	C	M	261	8	Yes	
CNSRDL	C	N	S	R	D	L	97	8	Yes	
CNSRDM	C	N	S	R	D	M	131	8	Yes	
CNSRIL	C	N	S	R	I	L	6065	8	Yes	
CNSRIM	C	N	S	R	I	M	3725	8	Yes	
CNSRLL	C	N	S	R	L	L	2477	8	Yes	
CNSRLM	C	N	S	R	L	M	2457	8	Yes	
CNSRPL	C	N	S	R	P	L	108	8	Yes	
CNSRPM	C	N	S	R	P	M	407	8	Yes	
CNSRWL	C	N	S	R	W	L	1161	8	Yes	
CNSRWM	C	N	S	R	W	M	955	8	Yes	
CRNCAM	C	R	N	C	A	M	2819	8	Yes	
CRNCCL	C	R	N	C	C	L	74	8	Yes	
CRNCIL	C	R	N	C	I	L	2085	8	Yes	
CRNCIM	C	R	N	C	I	M	1970	8	Yes	
CRNCLL	C	R	N	C	L	L	516	8	Yes	
CRNCLM	C	R	N	C	L	M	1452	8	Yes	
CRNCPL	C	R	N	C	P	L	1166	8	Yes	
CRNCPM	C	R	N	C	P	M	1202	8	Yes	
CRNCWL	C	R	N	C	W	L	212	8	Yes	
CRNCWM	C	R	N	C	W	M	296	8	Yes	
CRNHAM	C	R	N	H	A	M	818	8	Yes	
CRNHIL	C	R	N	H	I	L	205	8	Yes	
CRNHIM	C	R	N	H	I	M	318	8	Yes	
CRNHLL	C	R	N	H	L	L	59	8	Yes	
CRNHLM	C	R	N	H	L	M	360	8	Yes	
CRNHWL	C	R	N	H	W	L	97	8	Yes	
CRNHWM	C	R	N	H	W	M	183	8	Yes	
CRNLAM	C	R	N	L	A	M	7546	8	Yes	
CRNLCL	C	R	N	L	C	L	664	8	Yes	
CRNLCM	C	R	N	L	C	M	118	8	Yes	
CRNLIL	C	R	N	L	I	L	1642	8	Yes	
CRNLIM	C	R	N	L	I	M	4812	8	Yes	
CRNLLL	C	R	N	L	L	L	926	8	Yes	
CRNLLM	C	R	N	L	L	M	4120	8	Yes	
CRNLPM	C	R	N	L	P	M	72	8	Yes	
CRNLWL	C	R	N	L	W	L	754	8	Yes	
CRNLWM	C	R	N	L	W	M	461	8	Yes	
CRNRAM	C	R	N	R	A	M	1018	8	Yes	
CRNRIL	C	R	N	R	I	L	301	8	Yes	
CRNRIM	C	R	N	R	I	M	610	8	Yes	
CRNRLL	C	R	N	R	L	L	61	8	Yes	
CRNRLM	C	R	N	R	L	M	254	8	Yes	
CRNRPM	C	R	N	R	P	M	90	8	Yes	
CRNRWL	C	R	N	R	W	L	69	8	Yes	
CRNRWM	C	R	N	R	W	M	192	8	Yes	
CROCAM	C	R	O	C	A	M	371	8	Yes	
CROCIL	C	R	O	C	I	L	370	8	Yes	
CROCIM	C	R	O	C	I	M	300	8	Yes	
CROCLL	C	R	O	C	L	L	93	8	Yes	
CROCLM	C	R	O	C	L	M	189	8	Yes	
CROHAM	C	R	O	H	A	M	242	8	Yes	
CROHIL	C	R	O	H	I	L	229	8	Yes	
CROHIM	C	R	O	H	I	M	138	8	Yes	
CROHLL	C	R	O	H	L	L	250	8	Yes	
CROHLM	C	R	O	H	L	M	182	8	Yes	
CROLAM	C	R	O	L	A	M	429	8	Yes	
CROLIL	C	R	O	L	I	L	343	8	Yes	
CROLIM	C	R	O	L	I	M	252	8	Yes	
CROLLL	C	R	O	L	L	L	87	8	Yes	
CROLLM	C	R	O	L	L	M	207	8	Yes	
CRORAM	C	R	O	R	A	M	202	8	Yes	
CRORIL	C	R	O	R	I	L	290	8	Yes	
CRORIM	C	R	O	R	I	M	138	8	Yes	
CRORLL	C	R	O	R	L	L	57	8	Yes	
CRORLM	C	R	O	R	L	M	128	8	Yes	
CRPCAM	C	R	P	C	A	M	2432	8	Yes	
CRPCIL	C	R	P	C	I	L	2382	8	Yes	
CRPCIM	C	R	P	C	I	M	1762	8	Yes	
CRPCLL	C	R	P	C	L	L	683	8	Yes	
CRPCLM	C	R	P	C	L	M	1879	8	Yes	
CRPCPL	C	R	P	C	P	L	164	8	Yes	
CRPCPM	C	R	P	C	P	M	56	8	Yes	
CRPCWL	C	R	P	C	W	L	113	8	Yes	
CRPCWM	C	R	P	C	W	M	87	8	Yes	
CRPHAM	C	R	P	H	A	M	1632	8	Yes	
CRPHCL	C	R	P	H	C	L	96	8	Yes	
CRPHCM	C	R	P	H	C	M	57	8	Yes	
CRPHIL	C	R	P	H	I	L	1015	8	Yes	
CRPHIM	C	R	P	H	I	M	1234	8	Yes	
CRPHLL	C	R	P	H	L	L	1057	8	Yes	
CRPHLM	C	R	P	H	L	M	2163	8	Yes	
CRPHWL	C	R	P	H	W	L	77	8	Yes	
CRPHWM	C	R	P	H	W	M	87	8	Yes	
CRPLAM	C	R	P	L	A	M	2729	8	Yes	
CRPLCL	C	R	P	L	C	L	61	8	Yes	
CRPLIL	C	R	P	L	I	L	1837	8	Yes	
CRPLIM	C	R	P	L	I	M	1919	8	Yes	
CRPLLL	C	R	P	L	L	L	758	8	Yes	
CRPLLM	C	R	P	L	L	M	1623	8	Yes	
CRPLWL	C	R	P	L	W	L	229	8	Yes	
CRPLWM	C	R	P	L	W	M	72	8	Yes	
CRPRAM	C	R	P	R	A	M	2080	8	Yes	
CRPRCL	C	R	P	R	C	L	63	8	Yes	
CRPRDM	C	R	P	R	D	M	53	8	Yes	
CRPRIL	C	R	P	R	I	L	2336	8	Yes	
CRPRIM	C	R	P	R	I	M	1833	8	Yes	
CRPRLL	C	R	P	R	L	L	867	8	Yes	
CRPRLM	C	R	P	R	L	M	1368	8	Yes	
CRPRPL	C	R	P	R	P	L	160	8	Yes	
CRPRPM	C	R	P	R	P	M	209	8	Yes	
CRPRWL	C	R	P	R	W	L	144	8	Yes	
