strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
I2BNII	I	2	B	N	I	I	670.4	3	true	
I2BNIJ	I	2	B	N	I	J	1482.86	3	true	
I2BNIK	I	2	B	N	I	K	6039.1	3	true	
I2BNIM	I	2	B	N	I	M	255.27	6	true	
I2BNIN	I	2	B	N	I	N	899.36	6	true	
I2BNIO	I	2	B	N	I	O	4226.07	6	true	
I2GNCF	I	2	G	N	C	F	268.84	1	true	
I2GNCH	I	2	G	N	C	H	180.49	3	true	
I2GNDF	I	2	G	N	D	F	3713.32	1	true	
I2GNDH	I	2	G	N	D	H	994.71	3	true	
I2GNDI	I	2	G	N	D	I	1538.66	3	true	
I2GNDJ	I	2	G	N	D	J	1397.55	3	true	
I2GNDK	I	2	G	N	D	K	2912.99	3	true	
I2GNDM	I	2	G	N	D	M	765.4	6	true	
I2GNDN	I	2	G	N	D	N	1497.59	6	true	
I2GNDO	I	2	G	N	D	O	4297.92	6	true	
I2GNDS	I	2	G	N	D	S	364.01	10	true	
I2GNEF	I	2	G	N	E	F	1315.86	1	true	
I2GNEG	I	2	G	N	E	G	770.12	1	true	
I2GNEK	I	2	G	N	E	K	1203.33	3	true	
I2GNEO	I	2	G	N	E	O	406.68	6	true	
I2GNFF	I	2	G	N	F	F	412.48	1	true	
I2GNFG	I	2	G	N	F	G	181.99	1	true	
I2GNFH	I	2	G	N	F	H	1699.94	3	true	
I2GNFI	I	2	G	N	F	I	1946.46	3	true	
I2GNFJ	I	2	G	N	F	J	1729.71	3	true	
I2GNFK	I	2	G	N	F	K	2244.85	3	true	
I2GNFM	I	2	G	N	F	M	724.57	6	true	
I2GNFN	I	2	G	N	F	N	1277.61	6	true	
I2GNFO	I	2	G	N	F	O	1943.65	6	true	
I2GNGF	I	2	G	N	G	F	2478.98	1	true	
I2GNGG	I	2	G	N	G	G	1746.75	1	true	
I2GNGK	I	2	G	N	G	K	1293.66	3	true	
I2GNGO	I	2	G	N	G	O	258.61	6	true	
I2GNHF	I	2	G	N	H	F	3838.6	1	true	
I2GNHG	I	2	G	N	H	G	574.16	1	true	
I2GNHH	I	2	G	N	H	H	3886.06	3	true	
I2GNHI	I	2	G	N	H	I	2844.52	3	true	
I2GNHJ	I	2	G	N	H	J	2712.38	3	true	
